match_id,set_num,rally,removal_reason
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,2,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,6,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,7,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,8,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,9,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,10,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,16,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,17,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,21,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,23,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,25,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,26,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,28,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,30,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,31,fewer than 2 strokes
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,1,36,missing landing coordinates | missing player position coordinates
An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,2,4,missing landing coordinates
